sequence_index,word,layer
1,advance,高频
2,advanced,高频
3,agent,高频
4,actual,高频
5,react,高频
6,interact,高频
7,transaction,高频
8,ambiguous,高频
9,parallel,高频
10,alter,高频
11,alternative,高频
12,amateur,高频
13,ancient,高频
14,annual,高频
15,anxiety,高频
16,anxious,高频
17,adapt,高频
18,automation,高频
19,abandon,高频
20,debate,高频
21,battle,高频
22,bias,高频
23,combine,高频
24,brief,高频
25,cancer,高频
26,candidate,高频
27,capital,高频
28,carbon,高频
29,career,高频
30,carry,高频
31,forecast,高频
32,cautious,高频
33,perceive,高频
34,celebrity,高频
35,celebrate,高频
36,accelerate,高频
37,percentage,高频
38,centre,高频
39,central,高频
40,concentrate,高频
41,capacity,高频
42,escape,高频
43,participant,高频
44,capture,高频
45,capable,高频
46,accept,高频
47,exception,高频
48,exceptional,高频
49,certain,高频
50,procedure,高频
51,access,高频
52,necessary,高频
53,necessity,高频
54,recession,高频
55,chart,高频
56,chemical,高频
57,accident,高频
58,casual,高频
59,decide,高频
60,suicide,高频
61,council,高频
62,citizen,高频
63,cite,高频
64,civil,高频
65,civilization,高频
66,declare,高频
67,classical,高频
68,classify,高频
69,client,高频
70,decline,高频
71,conclusion,高频
72,conclude,高频
73,exclude,高频
74,contrary,高频
75,corporation,高频
76,account,高频
77,discover,高频
78,discovery,高频
79,recovery,高频
80,decrease,高频
81,creative,高频
82,creature,高频
83,criminal,高频
84,undermine,高频
85,humiliation,高频
86,critic,高频
87,criticize,高频
88,critical,高频
89,criticism,高频
90,crucial,高频
91,crude,高频
92,cultivate,高频
93,cure,高频
94,security,高频
95,accuracy,高频
96,occur,高频
97,current,高频
98,core,高频
99,discuss,高频
100,custom,高频
101,cycle,高频
102,debt,高频
103,decade,高频
104,damage,高频
105,democratic,高频
106,democracy,高频
107,epidemic,高频
108,indicate,高频
109,discipline,高频
110,condition,高频
111,dose,高频
112,diverse,高频
113,individual,高频
114,domestic,高频
115,dominate,高频
116,dominant,高频
117,introduce,高频
118,introduction,高频
119,conduct,高频
120,productive,高频
121,productivity,高频
122,reduction,高频
123,endure,高频
124,dynamic,高频
125,economics,高频
126,electricity,高频
127,electrical,高频
128,electronic,高频
129,equality,高频
130,estimate,高频
131,ethic,高频
132,inevitable,高频
133,extreme,高频
134,surface,高频
135,defence,高频
136,differ,高频
137,difference,高频
138,conference,高频
139,reference,高频
140,transfer,高频
141,infer,高频
142,preference,高频
143,suffer,高频
144,professional,高频
145,confidence,高频
146,financial,高频
147,confine,高频
148,define,高频
149,definition,高频
150,faculty,高频
151,sufficient,高频
152,efficient,高频
153,efficiency,高频
154,artificial,高频
155,qualification,高频
156,benefit,高频
157,profitable,高频
158,affect,高频
159,effective,高频
160,fiction,高频
161,inflation,高频
162,influential,高频
163,inform,高频
164,formation,高频
165,transform,高频
166,uniform,高频
