sequence_index,word,layer
1,"radiate","必考词"
2,"radiant","必考词"
3,"radical","必考词"
4,"object","必考词"
5,"objective","必考词"
6,"objection","必考词"
7,"obligation","必考词"
8,"oblige","必考词"
9,"obscure","必考词"
10,"observation","必考词"
11,"observe","必考词"
12,"obsession","必考词"
13,"obsolete","必考词"
14,"obtain","必考词"
15,"obvious","必考词"
16,"ideal","必考词"
17,"ideology","必考词"
18,"identical","必考词"
19,"identification","必考词"
20,"identify","必考词"
21,"identity","必考词"
22,"journal","必考词"
23,"journalist","必考词"
24,"journey","必考词"
25,"judge","必考词"
26,"judgement","必考词"
27,"judicial","必考词"
28,"jury","必考词"
29,"jurisdiction","必考词"
30,"justice","必考词"
31,"justify","必考词"
32,"label","必考词"
33,"lag","必考词"
34,"largely","必考词"
35,"lateral","必考词"
36,"latter","必考词"
37,"law","必考词"
38,"lawsuit","必考词"
39,"magnitude","必考词"
40,"magnify","必考词"
41,"magnificent","必考词"
42,"maintain","必考词"
43,"maintenance","必考词"
44,"major","必考词"
45,"majority","必考词"
46,"make","必考词"
47,"theme","必考词"
48,"theory","必考词"
49,"theoretical","必考词"
50,"therapy","必考词"
51,"qualification","必考词"
52,"qualify","必考词"
53,"quality","必考词"
54,"qualitative","必考词"
55,"safeguard","必考词"
56,"safety","必考词"
57,"savage","必考词"
58,"save","必考词"
59,"saving","必考词"
60,"scale","必考词"
61,"scene","必考词"
62,"scenery","必考词"
63,"pace","必考词"
64,"panel","必考词"
65,"panorama","必考词"
66,"prove","必考词"
67,"provide","必考词"
68,"provided","必考词"
69,"mediate","必考词"
70,"meditation","必考词"
71,"medium","必考词"
72,"media","必考词"
73,"elaborate","必考词"
74,"elegant","必考词"
75,"element","必考词"
76,"elementary","必考词"
77,"eliminate","必考词"
78,"abolish","必考词"
79,"absence","必考词"
80,"absent","必考词"
81,"abroad","必考词"
82,"absolute","必考词"
83,"absorb","必考词"
84,"abstract","必考词"
85,"ban","必考词"
86,"bar","必考词"
87,"bare","必考词"
88,"barely","必考词"
89,"bargain","必考词"
90,"capable","必考词"
91,"capacity","必考词"
92,"capital","必考词"
93,"captive","必考词"
94,"capture","必考词"
95,"career","必考词"
96,"careful","必考词"
97,"case","必考词"
98,"cast","必考词"
99,"casual","必考词"
100,"casualty","必考词"
101,"catch","必考词"
102,"category","必考词"
103,"cater","必考词"
104,"cause","必考词"
105,"caution","必考词"
106,"cautious","必考词"
107,"cease","必考词"
108,"celebrate","必考词"
109,"celebrity","必考词"
110,"ceremony","必考词"
111,"certain","必考词"
112,"certainty","必考词"
113,"certificate","必考词"
114,"certify","必考词"
115,"decline","必考词"
116,"decrease","必考词"
117,"decree","必考词"
118,"deem","必考词"
119,"dedicate","必考词"
120,"deduce","必考词"
121,"deduct","必考词"
122,"fashion","必考词"
123,"fashionable","必考词"
124,"favour","必考词"
125,"favourable","必考词"
126,"favourite","必考词"
127,"sit","必考词"
128,"site","必考词"
129,"situate","必考词"
130,"situation","必考词"
131,"skeleton","必考词"
132,"skeptical","必考词"
133,"sketch","必考词"
134,"embrace","必考词"
135,"embed","必考词"
136,"embody","必考词"
137,"embryo","必考词"
138,"elicit","必考词"
139,"elite","必考词"
140,"elsewhere","必考词"
141,"thirst","必考词"
142,"thorough","必考词"
143,"though","必考词"
144,"thought","必考词"
145,"thoughtful","必考词"
146,"threat","必考词"
147,"threaten","必考词"
148,"update","必考词"
149,"upgrade","必考词"
150,"uphold","必考词"
151,"upset","必考词"
152,"up-to-date","必考词"
153,"ventilate","必考词"
154,"venture","必考词"
155,"widespread","必考词"
156,"win","必考词"
157,"wit","必考词"
158,"withdraw","必考词"
159,"witness","必考词"
160,"inaugurate","必考词"
161,"incentive","必考词"
162,"incidence","必考词"
163,"incident","必考词"
164,"incidentally","必考词"
165,"incline","必考词"
166,"academic","必考词"
167,"academy","必考词"
168,"accelerate","必考词"
169,"accept","必考词"
170,"acceptance","必考词"
171,"access","必考词"
172,"accessory","必考词"
173,"begin","必考词"
174,"beginning","必考词"
175,"behalf","必考词"
176,"behave","必考词"
177,"behaviour","必考词"
178,"belief","必考词"
179,"believe","必考词"
180,"belong","必考词"
181,"beneficial","必考词"
182,"benefit","必考词"
183,"benevolent","必考词"
184,"benign","必考词"
185,"challenge","必考词"
186,"chance","必考词"
187,"change","必考词"
188,"channel","必考词"
189,"character","必考词"
190,"characterise","必考词"
191,"characteristic","必考词"
192,"defend","必考词"
193,"define","必考词"
194,"definite","必考词"
195,"definition","必考词"
196,"defy","必考词"
197,"degree","必考词"
198,"delay","必考词"
199,"deliberate","必考词"
200,"delicate","必考词"
201,"deliver","必考词"
202,"delivery","必考词"
203,"fiction","必考词"
204,"field","必考词"
205,"fierce","必考词"
206,"fight","必考词"
207,"figure","必考词"
208,"finance","必考词"
209,"financial","必考词"
210,"finding","必考词"
211,"finite","必考词"
212,"firm","必考词"
213,"first","必考词"
214,"fit","必考词"
215,"global","必考词"
216,"globe","必考词"
217,"abandon","必考词"
218,"abide","必考词"
219,"ability","必考词"
220,"able","必考词"
221,"abnormal","必考词"
222,"background","必考词"
223,"balance","必考词"
224,"base","必考词"
225,"basement","必考词"
226,"basic","必考词"
227,"basis","必考词"
228,"calculate","必考词"
229,"call","必考词"
230,"calm","必考词"
231,"campaign","必考词"
232,"candidate","必考词"
233,"data","必考词"
234,"database","必考词"
235,"date","必考词"
236,"dazzle","必考词"
237,"deal","必考词"
238,"dealer","必考词"
239,"debate","必考词"
240,"decade","必考词"
241,"decide","必考词"
242,"decision","必考词"
243,"decisive","必考词"
244,"decorate","必考词"
245,"economic","必考词"
246,"economical","必考词"
247,"economics","必考词"
248,"economy","必考词"
249,"educate","必考词"
250,"education","必考词"
251,"effect","必考词"
252,"effective","必考词"
253,"efficient","必考词"
254,"efficiency","必考词"
255,"effort","必考词"
256,"fabric","必考词"
257,"fabricate","必考词"
258,"face","必考词"
259,"facet","必考词"
260,"factor","必考词"
261,"fade","必考词"
262,"fail","必考词"
263,"failure","必考词"
264,"fair","必考词"
265,"fairly","必考词"
266,"fall","必考词"
267,"fan","必考词"
268,"fancy","必考词"
269,"fascinate","必考词"
270,"gain","必考词"
271,"gamble","必考词"
272,"gap","必考词"
273,"gene","必考词"
274,"general","必考词"
275,"generalize","必考词"
276,"habit","必考词"
277,"habitat","必考词"
278,"hamper","必考词"
279,"handicap","必考词"
280,"shield","必考词"
281,"shift","必考词"
282,"shoulder","必考词"
283,"show","必考词"
284,"shower","必考词"
285,"glamour","必考词"
286,"generate","必考词"
287,"generation","必考词"
288,"generator","必考词"
289,"generous","必考词"
290,"genius","必考词"
291,"gift","必考词"
292,"genre","必考词"
293,"giant","必考词"
294,"gigantic","必考词"
295,"give","必考词"
296,"happen","必考词"
297,"harm","必考词"
298,"harmony","必考词"
299,"harsh","必考词"
300,"ignorance","必考词"
301,"ignorant","必考词"
302,"ignore","必考词"
303,"ill","必考词"
304,"illness","必考词"
305,"illusion","必考词"
306,"illustrate","必考词"
307,"illustration","必考词"
308,"image","必考词"
309,"imagine","必考词"
310,"imaginary","必考词"
311,"imagination","必考词"
312,"imaginative","必考词"
313,"imitate","必考词"
314,"imitation","必考词"
315,"lead","必考词"
316,"leadership","必考词"
317,"leading","必考词"
318,"legal","必考词"
319,"legislation","必考词"
320,"legitimate","必考词"
321,"leisure","必考词"
322,"level","必考词"
323,"lever","必考词"
324,"levy","必考词"
325,"manage","必考词"
326,"management","必考词"
327,"mandate","必考词"
328,"manifest","必考词"
